[0.0-1.9] 还在天天做梦一夜报复吗?
[174.8-175.8] 少抽两包烟
[175.8-176.6] 不会对你的生活
[176.6-178.1] 有任何实质性的影响
[178.1-179.1] 但这本稳妇
[179.1-180.8] 也许能让你在未来五年内
[180.8-181.8] 多存下十万
[181.8-182.4] 二十万
[182.4-184.5] 甚至改变你整个家族的财富基因
[184.5-186.3] 不要在最该积累认知的时候
[186.3-187.7] 选择了躺平和抱怨
[187.7-189.0] 点击下方小黄车
[189.0-190.2] 把这本书买回去
[190.2-191.2] 放在你的枕边
[191.2-192.6] 每天睡前读十分钟
[192.6-194.0] 让富人思维一点一滴的
[194.0-195.0] 渗透你的大脑
[195.0-196.3] 趁着现在还有库存
[196.3-197.1] 赶紧去拍
